player_id,player_name,team_name,position_name,total_points,round,value,cum_points
224,Joel Matip,Liverpool,DEF,6,1,50,6
224,Joel Matip,Liverpool,DEF,6,2,50,12
224,Joel Matip,Liverpool,DEF,2,3,50,14
224,Joel Matip,Liverpool,DEF,6,4,50,20
224,Joel Matip,Liverpool,DEF,0,5,50,20
224,Joel Matip,Liverpool,DEF,1,6,50,21
224,Joel Matip,Liverpool,DEF,1,7,50,22
224,Joel Matip,Liverpool,DEF,6,8,50,28
224,Joel Matip,Liverpool,DEF,0,9,50,28
224,Joel Matip,Liverpool,DEF,0,10,50,28
224,Joel Matip,Liverpool,DEF,1,11,50,29
224,Joel Matip,Liverpool,DEF,6,12,50,35
224,Joel Matip,Liverpool,DEF,0,13,50,35
224,Joel Matip,Liverpool,DEF,2,14,50,37
224,Joel Matip,Liverpool,DEF,6,15,49,43
224,Joel Matip,Liverpool,DEF,7,16,49,50
224,Joel Matip,Liverpool,DEF,2,17,49,52
224,Joel Matip,Liverpool,DEF,2,18,49,54
224,Joel Matip,Liverpool,DEF,1,20,49,55
224,Joel Matip,Liverpool,DEF,0,21,49,55
224,Joel Matip,Liverpool,DEF,6,22,49,61
224,Joel Matip,Liverpool,DEF,2,23,49,63
224,Joel Matip,Liverpool,DEF,11,24,49,74
224,Joel Matip,Liverpool,DEF,6,25,49,80
224,Joel Matip,Liverpool,DEF,2,26,49,82
224,Joel Matip,Liverpool,DEF,12,26,49,94
224,Joel Matip,Liverpool,DEF,0,28,49,94
224,Joel Matip,Liverpool,DEF,12,29,49,106
224,Joel Matip,Liverpool,DEF,7,29,49,113
224,Joel Matip,Liverpool,DEF,7,31,50,120
224,Joel Matip,Liverpool,DEF,1,32,50,121
224,Joel Matip,Liverpool,DEF,6,33,50,127
224,Joel Matip,Liverpool,DEF,8,34,51,135
224,Joel Matip,Liverpool,DEF,6,35,51,141
224,Joel Matip,Liverpool,DEF,0,36,52,141
224,Joel Matip,Liverpool,DEF,11,36,52,152
224,Joel Matip,Liverpool,DEF,11,37,52,163
224,Joel Matip,Liverpool,DEF,7,38,53,170
420,Jarrod Bowen,West Ham,MID,2,1,65,2
420,Jarrod Bowen,West Ham,MID,2,2,65,4
420,Jarrod Bowen,West Ham,MID,2,3,64,6
420,Jarrod Bowen,West Ham,MID,3,4,64,9
420,Jarrod Bowen,West Ham,MID,5,5,63,14
420,Jarrod Bowen,West Ham,MID,5,6,63,19
420,Jarrod Bowen,West Ham,MID,7,7,63,26
420,Jarrod Bowen,West Ham,MID,6,8,63,32
420,Jarrod Bowen,West Ham,MID,3,9,63,35
420,Jarrod Bowen,West Ham,MID,11,10,63,46
420,Jarrod Bowen,West Ham,MID,9,11,63,55
420,Jarrod Bowen,West Ham,MID,2,12,64,57
420,Jarrod Bowen,West Ham,MID,1,13,64,58
420,Jarrod Bowen,West Ham,MID,2,14,64,60
420,Jarrod Bowen,West Ham,MID,11,15,64,71
420,Jarrod Bowen,West Ham,MID,3,16,65,74
420,Jarrod Bowen,West Ham,MID,2,17,65,76
420,Jarrod Bowen,West Ham,MID,4,19,65,80
420,Jarrod Bowen,West Ham,MID,14,20,65,94
420,Jarrod Bowen,West Ham,MID,5,21,66,99
420,Jarrod Bowen,West Ham,MID,16,21,66,115
420,Jarrod Bowen,West Ham,MID,7,22,67,122
420,Jarrod Bowen,West Ham,MID,2,23,68,124
420,Jarrod Bowen,West Ham,MID,11,24,69,135
420,Jarrod Bowen,West Ham,MID,13,25,70,148
420,Jarrod Bowen,West Ham,MID,1,26,71,149
420,Jarrod Bowen,West Ham,MID,3,27,71,152
420,Jarrod Bowen,West Ham,MID,1,28,70,153
420,Jarrod Bowen,West Ham,MID,0,29,69,153
420,Jarrod Bowen,West Ham,MID,0,30,68,153
420,Jarrod Bowen,West Ham,MID,13,31,68,166
420,Jarrod Bowen,West Ham,MID,2,32,69,168
420,Jarrod Bowen,West Ham,MID,2,33,69,170
420,Jarrod Bowen,West Ham,MID,1,34,69,171
420,Jarrod Bowen,West Ham,MID,6,35,69,177
420,Jarrod Bowen,West Ham,MID,13,36,69,190
420,Jarrod Bowen,West Ham,MID,14,37,68,204
420,Jarrod Bowen,West Ham,MID,2,38,69,206
429,Conor Coady,Wolves,DEF,2,1,45,2
429,Conor Coady,Wolves,DEF,2,2,45,4
429,Conor Coady,Wolves,DEF,2,3,45,6
429,Conor Coady,Wolves,DEF,6,4,45,12
429,Conor Coady,Wolves,DEF,0,5,45,12
429,Conor Coady,Wolves,DEF,6,6,45,18
429,Conor Coady,Wolves,DEF,2,7,45,20
429,Conor Coady,Wolves,DEF,7,8,45,27
429,Conor Coady,Wolves,DEF,2,9,45,29
429,Conor Coady,Wolves,DEF,2,10,45,31
429,Conor Coady,Wolves,DEF,1,11,45,32
429,Conor Coady,Wolves,DEF,6,12,45,38
429,Conor Coady,Wolves,DEF,8,13,45,46
429,Conor Coady,Wolves,DEF,6,14,45,52
429,Conor Coady,Wolves,DEF,2,15,45,54
429,Conor Coady,Wolves,DEF,2,16,45,56
429,Conor Coady,Wolves,DEF,8,17,45,64
429,Conor Coady,Wolves,DEF,7,18,45,71
429,Conor Coady,Wolves,DEF,6,21,45,77
429,Conor Coady,Wolves,DEF,9,22,46,86
429,Conor Coady,Wolves,DEF,2,23,47,88
429,Conor Coady,Wolves,DEF,2,24,47,90
429,Conor Coady,Wolves,DEF,6,25,47,96
429,Conor Coady,Wolves,DEF,2,26,47,98
429,Conor Coady,Wolves,DEF,1,26,47,99
429,Conor Coady,Wolves,DEF,2,27,47,101
429,Conor Coady,Wolves,DEF,1,28,48,102
429,Conor Coady,Wolves,DEF,6,28,48,108
429,Conor Coady,Wolves,DEF,14,29,48,122
429,Conor Coady,Wolves,DEF,1,30,49,123
429,Conor Coady,Wolves,DEF,1,31,49,124
429,Conor Coady,Wolves,DEF,2,32,49,126
429,Conor Coady,Wolves,DEF,2,34,48,128
429,Conor Coady,Wolves,DEF,0,35,48,128
429,Conor Coady,Wolves,DEF,8,36,48,136
429,Conor Coady,Wolves,DEF,0,36,48,136
429,Conor Coady,Wolves,DEF,1,37,48,137
429,Conor Coady,Wolves,DEF,1,38,47,138
231,Alisson Ramses Becker,Liverpool,GKP,7,1,60,7
231,Alisson Ramses Becker,Liverpool,GKP,8,2,60,15
231,Alisson Ramses Becker,Liverpool,GKP,2,3,60,17
231,Alisson Ramses Becker,Liverpool,GKP,9,4,60,26
231,Alisson Ramses Becker,Liverpool,GKP,7,5,60,33
231,Alisson Ramses Becker,Liverpool,GKP,1,6,60,34
231,Alisson Ramses Becker,Liverpool,GKP,1,7,60,35
231,Alisson Ramses Becker,Liverpool,GKP,0,8,60,35
231,Alisson Ramses Becker,Liverpool,GKP,7,9,60,42
231,Alisson Ramses Becker,Liverpool,GKP,2,10,60,44
231,Alisson Ramses Becker,Liverpool,GKP,-1,11,60,43
231,Alisson Ramses Becker,Liverpool,GKP,8,12,60,51
231,Alisson Ramses Becker,Liverpool,GKP,7,13,60,58
231,Alisson Ramses Becker,Liverpool,GKP,2,14,60,60
231,Alisson Ramses Becker,Liverpool,GKP,6,15,60,66
231,Alisson Ramses Becker,Liverpool,GKP,6,16,60,72
231,Alisson Ramses Becker,Liverpool,GKP,2,17,60,74
231,Alisson Ramses Becker,Liverpool,GKP,2,18,60,76
231,Alisson Ramses Becker,Liverpool,GKP,2,20,60,78
231,Alisson Ramses Becker,Liverpool,GKP,0,21,60,78
231,Alisson Ramses Becker,Liverpool,GKP,6,22,60,84
231,Alisson Ramses Becker,Liverpool,GKP,3,23,60,87
231,Alisson Ramses Becker,Liverpool,GKP,6,24,60,93
231,Alisson Ramses Becker,Liverpool,GKP,10,25,60,103
231,Alisson Ramses Becker,Liverpool,GKP,5,26,60,108
231,Alisson Ramses Becker,Liverpool,GKP,6,26,60,114
231,Alisson Ramses Becker,Liverpool,GKP,9,28,60,123
231,Alisson Ramses Becker,Liverpool,GKP,9,29,60,132
231,Alisson Ramses Becker,Liverpool,GKP,6,29,60,138
231,Alisson Ramses Becker,Liverpool,GKP,6,31,60,144
231,Alisson Ramses Becker,Liverpool,GKP,1,32,60,145
231,Alisson Ramses Becker,Liverpool,GKP,6,33,60,151
231,Alisson Ramses Becker,Liverpool,GKP,6,34,60,157
231,Alisson Ramses Becker,Liverpool,GKP,9,35,60,166
231,Alisson Ramses Becker,Liverpool,GKP,2,36,61,168
231,Alisson Ramses Becker,Liverpool,GKP,3,36,61,171
231,Alisson Ramses Becker,Liverpool,GKP,2,37,61,173
231,Alisson Ramses Becker,Liverpool,GKP,3,38,61,176
353,Hugo Lloris,Spurs,GKP,10,1,55,10
353,Hugo Lloris,Spurs,GKP,11,2,55,21
353,Hugo Lloris,Spurs,GKP,6,3,55,27
353,Hugo Lloris,Spurs,GKP,1,4,56,28
353,Hugo Lloris,Spurs,GKP,3,5,56,31
353,Hugo Lloris,Spurs,GKP,2,6,56,33
353,Hugo Lloris,Spurs,GKP,2,7,56,35
353,Hugo Lloris,Spurs,GKP,1,8,55,36
353,Hugo Lloris,Spurs,GKP,3,9,55,39
353,Hugo Lloris,Spurs,GKP,1,10,55,40
353,Hugo Lloris,Spurs,GKP,6,11,54,46
353,Hugo Lloris,Spurs,GKP,4,12,54,50
353,Hugo Lloris,Spurs,GKP,7,14,54,57
353,Hugo Lloris,Spurs,GKP,6,15,54,63
353,Hugo Lloris,Spurs,GKP,2,18,54,65
353,Hugo Lloris,Spurs,GKP,6,19,54,71
353,Hugo Lloris,Spurs,GKP,2,20,54,73
353,Hugo Lloris,Spurs,GKP,8,21,54,81
353,Hugo Lloris,Spurs,GKP,1,22,54,82
353,Hugo Lloris,Spurs,GKP,2,23,54,84
