player_id,player_name,team_name,position_name,round,value,total_points,cum_points
224,Joel Matip,Liverpool,DEF,1,50,6,6
224,Joel Matip,Liverpool,DEF,2,50,6,12
224,Joel Matip,Liverpool,DEF,3,50,2,14
224,Joel Matip,Liverpool,DEF,4,50,6,20
224,Joel Matip,Liverpool,DEF,5,50,0,20
224,Joel Matip,Liverpool,DEF,6,50,1,21
224,Joel Matip,Liverpool,DEF,7,50,1,22
224,Joel Matip,Liverpool,DEF,8,50,6,28
224,Joel Matip,Liverpool,DEF,9,50,0,28
224,Joel Matip,Liverpool,DEF,10,50,0,28
224,Joel Matip,Liverpool,DEF,11,50,1,29
224,Joel Matip,Liverpool,DEF,12,50,6,35
224,Joel Matip,Liverpool,DEF,13,50,0,35
224,Joel Matip,Liverpool,DEF,14,50,2,37
224,Joel Matip,Liverpool,DEF,15,49,6,43
224,Joel Matip,Liverpool,DEF,16,49,7,50
224,Joel Matip,Liverpool,DEF,17,49,2,52
224,Joel Matip,Liverpool,DEF,18,49,2,54
224,Joel Matip,Liverpool,DEF,20,49,1,55
224,Joel Matip,Liverpool,DEF,21,49,0,55
224,Joel Matip,Liverpool,DEF,22,49,6,61
224,Joel Matip,Liverpool,DEF,23,49,2,63
224,Joel Matip,Liverpool,DEF,24,49,11,74
224,Joel Matip,Liverpool,DEF,25,49,6,80
224,Joel Matip,Liverpool,DEF,26,49,2,82
224,Joel Matip,Liverpool,DEF,26,49,12,94
224,Joel Matip,Liverpool,DEF,28,49,0,94
224,Joel Matip,Liverpool,DEF,29,49,12,106
224,Joel Matip,Liverpool,DEF,29,49,7,113
224,Joel Matip,Liverpool,DEF,31,50,7,120
224,Joel Matip,Liverpool,DEF,32,50,1,121
224,Joel Matip,Liverpool,DEF,33,50,6,127
224,Joel Matip,Liverpool,DEF,34,51,8,135
224,Joel Matip,Liverpool,DEF,35,51,6,141
224,Joel Matip,Liverpool,DEF,36,52,0,141
224,Joel Matip,Liverpool,DEF,36,52,11,152
224,Joel Matip,Liverpool,DEF,37,52,11,163
224,Joel Matip,Liverpool,DEF,38,53,7,170
420,Jarrod Bowen,West Ham,MID,1,65,2,2
420,Jarrod Bowen,West Ham,MID,2,65,2,4
420,Jarrod Bowen,West Ham,MID,3,64,2,6
420,Jarrod Bowen,West Ham,MID,4,64,3,9
420,Jarrod Bowen,West Ham,MID,5,63,5,14
420,Jarrod Bowen,West Ham,MID,6,63,5,19
420,Jarrod Bowen,West Ham,MID,7,63,7,26
